start	end	text
511006	512728	Ты что, захворел?
512808	513549	Почти.
513629	517033	Я так поспешил, аж перевантажил двигатель.
517053	520176	Хотел достигнуть до ура тепло до темно.
520216	524461	А теперь не могу даже колесом повернуть.
524481	526283	Посмотри на мой двигатель.
526303	528125	Он же закипает.
528165	531529	Пока не охолону, ехать не смогу.
531863	537737	Можливо, доведется чекати цілу ніч і стырчати тут самому.
537797	541766	А я до Гыковки боюсь темрявы.
541927	543170	Не панікуй.
543330	545695	Я тебе одного не залишу.
545736	548522	По-міськой як я можу зарадыти біді.
548688	550710	Хм... О!
550750	552011	Придумал!
552031	554674	Тут недалечко бычок пасется.
554714	556496	Лети швиденько до него.
556516	559899	Попроси его принести ведерце холодной водички.
559959	561380	Она меня остудит.
561461	562261	Добре!
562321	563302	Лечу!
563362	566065	Лечу!
566105	567647	Бычок!
567707	573793	Бычок!
573833	575354	Бычок!
575414	577176	Бычок!
578084	580587	Бычок!
580807	581948	Что?
582068	584270	Гаммер как на пожежу.
584311	585952	Тракторец в беде.
586072	588054	Ему нужна твоя помощь.
588295	590437	Что с ним случилось?
590557	593921	Он так завзято орал, что двигатель перегрелся.
593941	598585	Пожалуйста, набери бутылку холодной воды и хорошо бежи на поле.
598625	600868	Тракторца следует остудить.
600908	604351	Вот халепа!
604372	605813	Спасибо за звездку.
606198	628452	Бежу, рятувати!
628472	632037	Эх, надеюсь, пташка нашла бычка.
637552	640096	Ой, я что-то слышу!
640136	646186	Сдаётся, это стукит копыт!
646206	648711	Так, так, это бычок!
648811	650113	Я его вижу!
650133	652557	Пташка молодец, она боролась!
662948	664151	Вау!
664171	665714	Я уже не червоный!
665734	670364	А ну, спробую завести двигуна!
670544	671627	Так!
671727	672228	Так!
672248	674493	Я снова справный!
674513	676878	Дякую, Бычок, что остудил меня!
676898	679624	Теперь я знову можу працевать!
679773	682417	Но солнышко уже почти село.
682477	684259	Ничего не вдиешь.
684299	687043	Не встигну сегодня закончить оранку.
687884	689727	Ха, не сомуй.
689787	694334	Давай я стану поруч, допоможу тоби тягнути плуг.
694474	698059	Разом мы швидко дооремо це поле.
698119	700062	О, клас!
700162	702405	Люблю працювати разом.
724019	724980	Ура!
725021	727003	Мы встыгли!
727024	728285	Спасибо тебе, друг!
728305	730369	Ты мне очень помог!
730409	734254	Без тебя я бы не успел выполнить все, что наметил.
734274	738781	Посмотрите, малята, какое большое поле мы сегодня взорвали.
738801	741886	Теперь на этом поле нужно посадить картошку.
741906	745692	А как мы с этим справимся, смотрите в следующей серии.
745712	748035	До новых встреч, малята!
